ingredients,pareto,purchase_unit,type,price,purchase_size,salad_averaeg,veggie_average,count
rabarber,True,g,short,40.0,200.0,75.0,100.0,29
yoghurt naturel,True,ml,short,27.0,1000.0,,,28
blomkål,True,stk,short,30.0,1.0,0.45,0.4375,28
ahornsirup,True,ml,long,43.0,250.0,,,28
peberkorn,True,,long,,,,,28
sriracha chilisauce,True,ml,short,45.0,450.0,,,27
kærnemælk,True,ml,short,20.0,1000.0,,,26
porre,True,stk,short,10.0,1.0,,0.75,26
mandelmel,True,g,short,40.0,150.0,,,26
kikærter,True,g,short,15.0,400.0,,62.5,26
nudler,True,g,long,40.0,250.0,,127.5,26
mango,True,g,short,15.0,250.0,,,25
kapers,True,g,short,23.0,65.0,12.5,10.0,25
hvid chokolade,True,g,long,40.0,85.0,,,25
græskarkerner,True,g,long,22.0,250.0,31.25,20.0,24
husblas,True,g,long,20.0,10.0,,,24
stødt gurkemeje,True,,long,,,,,24
sort peber,True,,long,,,,,24
dadel,True,g,short,45.0,200.0,,,23
blåbær,True,g,short,25.0,125.0,33.33333333,37.5,23
hvidvin,True,ml,short,75.0,750.0,,,23
kanelstang,True,stk,long,0.0,1.0,0.5,,23
stødt ingefær,True,stk,long,0.0,1.0,,,22
kokosmel,True,g,short,33.0,300.0,,,21
majs,True,g,short,15.0,400.0,,90.0,21
skalotteløg,True,stk,short,26.0,10.0,0.75,0.9375,21
worcestershire sauce,True,ml,short,45.0,290.0,,,21
rugbrød,True,stk,short,25.0,15.0,1.375,1.333333333,21
saltede peanuts,True,g,long,20.0,200.0,15.0,20.0,21
pære,True,g,short,25.0,500.0,,,20
pillede edamamebønner,True,g,short,25.0,300.0,90.625,88.54166667,20
sennep,True,g,long,35.0,500.0,,,20
ketchup,True,g,long,46.0,580.0,70.0,,20
hele nelliker,True,,long,,,,,20
kakaonibs,True,stk,long,0.0,1.0,,,20
appelsinjuice,True,ml,short,40.0,850.0,,,19
aubergine,True,stk,short,16.0,1.0,0.6428571429,0.7083333333,19
grønkål,True,g,short,20.0,300.0,115.625,89.58333333,19
hindbær,True,g,short,30.0,125.0,,,19
torskefilet,True,g,short,40.0,200.0,,,19
pasta,True,g,long,30.0,250.0,125.0,191.0714286,19
hørfrø,True,g,short,13.0,250.0,,,18
grøn salat,True,g,short,20.0,200.0,87.5,95.0,18
mælkechokolade,True,g,long,35.0,200.0,,,18
stjerneanis,True,stk,long,0.0,1.0,1.0,,18
tahin,True,stk,long,0.0,1.0,,,18
rødbede,True,g,short,15.0,1000.0,93.33333333,138.3333333,17
jalapenos,True,g,short,22.0,60.0,15.0,,17
fritureolie,True,ml,short,160.0,1000.0,,,17
cashewnødder,True,g,short,21.0,100.0,18.33333333,20.0,17
sesamolie,True,ml,short,85.0,500.0,,,17
grønne asparges,True,g,short,35.0,250.0,,100.0,17
rålakridspulver,True,,long,,,,,17
appelsin,True,stk,short,27.0,10.0,0.75,0.75,16
chili,True,stk,short,5.0,1.0,0.4166666667,0.5,16
rejer,True,g,short,70.0,300.0,,,16
mørk rom,True,ml,long,200.0,750.0,,,16
spaghetti,True,g,long,30.0,500.0,,195.0,16
allehånde,True,,long,,,,,16
guldstøv,True,stk,long,0.0,1.0,,,16
nachos,True,g,short,20.0,450.0,,50.0,15
babykartofler,True,g,short,25.0,1000.0,200.0,187.5,15
burgerboller,True,stk,short,40.0,6.0,,2.0,15
kidneybønner,True,g,short,8.0,400.0,,,15
rugmel,True,g,long,40.0,1000.0,50.0,22.5,15
rødvin,True,ml,short,75.0,750.0,,,14
gin,True,ml,short,200.0,750.0,,,14
stenbiderrogn,True,g,short,30.0,150.0,,,14
hokkaido græskar,True,stk,short,25.0,1.0,0.5,0.5,14
safran,True,stk,long,0.0,1.0,,,14
rosmarin,True,stk,long,0.0,1.0,,,14
krydderurter,True,,long,,,,,14
frisk salvie,True,,long,,,,,14
cornichoner,True,,,,,,,14
parmaskinke,True,,,,,,,14
sorte bønner,True,g,short,6.0,400.0,,,13
isterninger,True,stk,long,0.0,0.0,,,13
pesto,True,g,long,23.0,150.0,,31.25,13
granatæblekerner,True,g,short,25.0,100.0,,,12
hakket svinekød,True,g,meat,80.0,500.0,,,12
pistaciekerner,True,g,short,30.0,150.0,12.5,12.5,12
vaniljeis,True,ml,short,60.0,750.0,,,12
peanutbutter,True,g,short,40.0,350.0,,,12
muscovadosukker,True,g,long,40.0,1000.0,,,12
garam masala,True,,long,,,,,12
pistaciekerner uden salt,True,,,,,,,12
laksefilet,True,,,,,,,12
nougat,True,,,,,,,12
pankorasp,True,,,,,,,12
kyllingebryst med skind,True,,meat,,,,,12
friske ærter,True,g,short,15.0,400.0,87.5,128.3333333,11
bakke karse,True,g,short,10.0,100.0,,,11
sød kondenseret mælk,True,,,,,,,11
stærk kaffe,True,,,,,,,11
tranebær,True,g,short,30.0,150.0,15.0,11.25,10
vodka,True,ml,short,100.0,750.0,,,10
bagekartoffel,True,g,short,12.0,1000.0,,100.0,10
rød karrypasta,True,g,short,12.0,110.0,,,10
halloumi,True,g,short,35.0,250.0,90.625,101.5625,10
røde linser,True,g,long,18.0,400.0,,64.28571429,10
frisk oregano,True,,long,,,,,10
fennikel,True,,long,,,,,10
kylling,True,,meat,,,,,10
danskvand,True,,,,,,,10
citronsaft,True,,,,,,,10
rødkål,True,,,,,,,10
hvidløgspulver,True,,,,,,,10
frisk estragon,True,,,,,,,10
chiafrø,True,,,,,,,10
hønsebouillon,True,,,,,,,10
perlesukker,False,,,,,,,10
ananas,False,,,,,,,10
citrongræs,False,,,,,,,10
serranoskinke,False,,,,,,,10
majskolbe,True,stk,short,30.0,2.0,1.4,1.25,9
salat,True,g,short,20.0,200.0,,49.375,9
ricotta,True,g,short,25.0,250.0,,112.5,9
durummel,True,g,long,45.0,1000.0,100.0,150.0,9
risotto ris,True,g,long,33.0,300.0,,187.5,9
fennikelfrø,True,g,long,26.0,25.0,,,9
lakridsrodspulver,True,,,,,,,9
hyldeblomstsaft,True,,,,,,,9
medjool dadler,True,,,,,,,9
lys rom,False,,,,,,,9
rosiner,False,,,,,,,9
feldsalat,False,,,,,,,9
hakket kylling,False,,meat,,,,,9
laks,False,,,,,,,9
ris,True,g,short,20.0,1000.0,,200.0,8
hvide asparges,True,g,short,45.0,250.0,,175.0,8
kartofler,True,g,short,12.0,1000.0,,150.0,8
akaciehonning,True,g,short,40.0,250.0,,,8
oliven,True,g,short,35.0,190.0,50.0,31.25,8
peberrod,True,g,short,10.0,50.0,5.0,13.33333333,8
blommetomater,True,stk,short,25.0,10.0,7.5,6.25,8
hoisin sauce,True,ml,short,33.0,200.0,,,8
syltede rødbeder,True,g,short,13.0,400.0,,50.0,8
peanuts,True,g,short,20.0,200.0,,22.5,8
hytteost,True,g,short,13.0,200.0,100.0,100.0,8
frysetørret hindbær,True,,,,,,,8
skumfiduser,False,,,,,,,8
kardemommekapsler,False,,,,,,,8
grødris,False,,,,,,,8
pekannødder,False,,,,,,,8
granatæble,False,,,,,,,8
varmrøget laks,False,,,,,,,8
hampefrø,False,,,,,,,8
hvidløgsflødeost,True,g,short,20.0,150.0,150.0,37.5,7
sorte oliven,True,g,short,35.0,190.0,51.25,54.16666667,7
sød kartoffel,True,g,short,18.0,1000.0,35.0,108.75,7
edamamebønner,True,g,short,25.0,300.0,116.6666667,67.5,7
jordskokker,True,g,short,15.0,500.0,200.0,100.0,7
bønnespirer,True,g,short,12.0,150.0,,100.0,7
pasta penne,True,g,long,30.0,250.0,,200.0,7
svinemørbrad,False,,,,,,,7
mandelmælk,False,,,,,,,7
boghvedemel,False,,,,,,,7
lakridsrod,False,,,,,,,7
wienerpølser,False,,,,,,,7
ribs,False,,,,,,,7
hvidkål,False,,,,,,,7
løgpulver,False,,,,,,,7
hvidtøl,False,,,,,,,7
sød chilisauce,False,,,,,,,7
hakket lammekød,False,,meat,,,,,7
nektarin,False,,,,,,,7
ærter,False,,,,,,,7
blommer,False,,,,,,,7
hjortetaksalt,False,,,,,,,7
rispapir,False,,,,,,,7
koldrøget laks,False,,,,,,,7
flutes,False,,,,,,,7
ost,False,,,,,,,7
mascarpone,True,g,short,27.0,250.0,,,6
ananasjuice,True,ml,short,35.0,1000.0,,,6
ølandshvedemel,False,,,,,,,6
hindbærmarmelade,False,,,,,,,6
ymer,False,,,,,,,6
ribsgele,False,,,,,,,6
øl,False,,,,,,,6
oksebouillon,False,,,,,,,6
thaibasilikum,False,,,,,,,6
kokosolie,False,,,,,,,6
tørret abrikos,False,,,,,,,6
æblejuice,False,,,,,,,6
tør hvidvin,False,,,,,,,6
pak choy,False,,,,,,,6
lasagneplader,False,,,,,,,6
cointreau,False,,,,,,,6
bulgur,False,,,,,,,6
balsamico,True,ml,short,40.0,250.0,,,5
kantareller,True,g,short,52.0,20.0,,75.0,5
svampe,True,g,short,30.0,200.0,,91.25,5
pitabrød,True,stk,short,30.0,5.0,,2.0,5
kørvel,True,g,short,17.0,100.0,,,5
teriyaki,True,,long,,,,,5
sorte oliven uden sten,False,,,,,,,5
oksebov,False,,,,,,,5
krymmel,False,,,,,,,5
grand marnier,False,,,,,,,5
kyllingelår,False,,meat,,,,,5
abrikosmarmelade,False,,,,,,,5
remoulade,False,,,,,,,5
rød balsamico,False,,,,,,,5
kirsebær,False,,,,,,,5
lys sirup,False,,,,,,,5
baileys,False,,,,,,,5
koteletter,False,,,,,,,5
sennepsfrø,False,,,,,,,5
blå birkes,False,,,,,,,5
bær,False,,,,,,,5
skyr,False,,,,,,,5
rød grapefrugt,False,,,,,,,5
vannamei tigerrejer,False,,,,,,,5
æblemost,False,,,,,,,5
nakkefilet,False,,,,,,,5
kartoffelmel,False,,,,,,,5
ramsløg,False,,,,,,,5
balsamico glace,False,,,,,,,5
landskinke,False,,,,,,,5
bakke jordbær,True,stk,short,50.0,1.0,0.5,0.5,4
butterbeans,True,g,short,15.0,400.0,,,4
gnocchi,True,g,short,30.0,250.0,,250.0,4
dild,True,g,short,9.0,180.0,,,4
haricots verts,True,g,short,17.0,500.0,,100.0,4
friske lasagneplader,True,stk,short,20.0,10.0,,,4
linguine,True,g,long,30.0,250.0,,200.0,4
pastavand,True,,long,,,,,4
miso,True,,long,,,,,4
portvin,False,,,,,,,4
natron,False,,,,,,,4
hvidvinseddike,False,,,,,,,4
fersken,False,,,,,,,4
kaffe,False,,,,,,,4
kaffirblade,False,,,,,,,4
pebermyntestok,False,,,,,,,4
sukkersirup,False,,,,,,,4
brombær,False,,,,,,,4
vesterhavsost,False,,,,,,,4
surdej,False,,,,,,,4
tabasco,False,,,,,,,4
blåskimmelost,False,,,,,,,4
figner,False,,,,,,,4
chokoladeknapper,False,,,,,,,4
mørk øl,False,,,,,,,4
rosenkål,False,,,,,,,4
espresso,False,,,,,,,4
digestive kiks,False,,,,,,,4
medisterpølse,False,,,,,,,4
muslinger,False,,,,,,,4
mousserende vin,False,,,,,,,4
grønne bønner,False,,,,,,,4
entrecotes,False,,,,,,,4
mandelsmør,False,,,,,,,4
quinoa,False,,,,,,,4
rejer med skal,False,,,,,,,4
rødspættefilet,False,,,,,,,4
butterdej,False,,,,,,,4
skært oksekød,False,,meat,,,,,4
barbecuesauce,False,,,,,,,4
røget makrel,False,,,,,,,4
rugkerner,False,,,,,,,4
vandmelon,False,,,,,,,4
røget laks,False,,,,,,,4
grønne linser,False,,,,,,,4
sushi ris,False,,,,,,,4
riseddike,False,,,,,,,4
kageplast,False,,,,,,,4
gedeost,False,,,,,,,4
tun i vand,False,,,,,,,4
sumak,True,g,short,50.0,100.0,,,3
saltede mandler,True,g,short,25.0,150.0,20.0,12.5,3
tamarind paste,True,g,short,50.0,100.0,,,3
tomat passata,True,stk,short,7.0,1.0,,,3
gorgonzola,True,g,short,30.0,150.0,,85.0,3
oliven uden sten,True,g,short,35.0,190.0,37.5,50.0,3
hvid quinoa,True,g,short,25.0,400.0,75.0,81.25,3
flåede tomater,True,stk,short,7.0,1.0,,,3
polenta mel,True,g,long,30.0,450.0,125.0,100.0,3
brune ris,True,g,long,12.0,1000.0,,,3
majskorn til popcorn,False,,,,,,,3
confiteret andelår,False,,,,,,,3
kiwi,False,,,,,,,3
suppehøne,False,,,,,,,3
mandarin,False,,,,,,,3
tykmælk,False,,,,,,,3
farvepasta,False,,,,,,,3
bergamotte,False,,,,,,,3
snaps,False,,,,,,,3
galangarod,False,,,,,,,3
nødder,False,,,,,,,3
oksefond,False,,,,,,,3
cognac,False,,,,,,,3
hvedekerner,False,,,,,,,3
jordbærsyltetøj,False,,,,,,,3
lunkent vand,False,,,,,,,3
syltede agurker,False,,,,,,,3
blodappelsiner,False,,,,,,,3
lys muscovadosukker,False,,,,,,,3
lavendelblomster,False,,,,,,,3
