ingredients,urls,pareto,unit,spice,faktor,price,purchase_size
hasselnødder,69,True,g,0.0,10.0,25.0,150.0
hakkede tomater,68,True,stk,0.0,1.0,7.0,1.0
hakkede tomater,68,True,stk,0.0,0.1,7.0,1.0
vaniljesukker,68,True,stk,1.0,0.15,0.0,1.0
vaniljesukker,68,True,stk,1.0,0.05,0.0,1.0
vaniljesukker,68,True,stk,1.0,0.2,0.0,1.0
æble,67,True,stk,0.0,1.0,18.0,9.0
æble,67,True,stk,0.0,0.1,18.0,9.0
rød chili,67,True,stk,0.0,1.0,5.0,1.0
rød chili,67,True,stk,0.0,0.15,5.0,1.0
frisk basilikum,66,True,stk,1.0,1.0,0.0,1.0
stødt koriander,65,True,stk,1.0,0.15,0.0,1.0
stødt koriander,65,True,stk,1.0,0.2,0.0,1.0
stødt koriander,65,True,stk,1.0,0.05,0.0,1.0
stødt koriander,65,True,stk,1.0,0.01,0.0,1.0
havregryn,63,True,g,0.0,1.0,12.0,1000.0
havregryn,63,True,g,0.0,10.0,12.0,1000.0
havregryn,63,True,g,0.0,15.0,12.0,1000.0
frisk timian,59,True,stk,1.0,1.0,0.0,1.0
frisk mozzarella,58,,,,,,
sesamfrø,58,True,g,0.0,1.0,20.0,250.0
sesamfrø,58,True,g,0.0,15.0,20.0,250.0
sesamfrø,58,True,g,0.0,5.0,20.0,250.0
sesamfrø,58,True,g,0.0,10.0,20.0,250.0
brun farin,56,True,g,0.0,1.0,21.0,500.0
brun farin,56,True,g,0.0,15.0,21.0,500.0
brun farin,56,True,g,0.0,10.0,21.0,500.0
brun farin,56,True,g,0.0,5.0,21.0,500.0
banan,54,True,stk,0.0,1.0,4.0,1.0
æggeblomme,53,True,g,0.0,1.0,22.0,150.0
fuldkornshvedemel,53,True,g,0.0,1.0,26.0,1000.0
fuldkornshvedemel,53,True,g,0.0,10.0,26.0,1000.0
fuldkornshvedemel,53,True,g,0.0,15.0,26.0,1000.0
øko lime,53,,,,,,
rød peberfrugt,50,True,stk,0.0,1.0,20.0,3.0
champignon,50,True,g,0.0,1.0,18.0,200.0
persille,49,True,g,0.0,1.0,21.0,180.0
persille,49,True,g,0.0,10.0,21.0,180.0
persille,49,True,g,0.0,15.0,21.0,180.0
marcipan,47,True,g,0.0,1.0,50.0,200.0
soja,47,True,ml,0.0,15.0,21.0,250.0
soja,47,True,ml,0.0,5.0,21.0,250.0
soja,47,True,ml,0.0,10.0,21.0,250.0
feta,47,True,g,0.0,1.0,33.0,150.0
feta,47,True,g,0.0,15.0,33.0,150.0
soltørrede tomater i olie,46,True,g,0.0,1.0,40.0,120.0
soltørrede tomater i olie,46,True,g,0.0,15.0,40.0,120.0
cheddar ost,46,True,g,0.0,1.0,24.0,125.0
cheddar ost,46,True,g,0.0,15.0,24.0,125.0
cherrytomater,46,True,g,0.0,1.0,15.0,250.0
rucola,46,True,g,0.0,1.0,20.0,100.0
basmati ris,45,True,g,0.0,10.0,41.0,500.0
basmati ris,45,True,g,0.0,1.0,41.0,500.0
oregano,44,True,,1.0,,,
purløg,44,True,g,0.0,1.0,9.0,180.0
purløg,44,True,g,0.0,15.0,9.0,180.0
purløg,44,True,g,0.0,10.0,9.0,180.0
græsk yoghurt,44,True,g,0.0,10.0,24.0,500.0
græsk yoghurt,44,True,g,0.0,1.0,24.0,500.0
græsk yoghurt,44,True,g,0.0,15.0,24.0,500.0
forårsløg,44,True,stk,0.0,1.0,14.0,4.0
forårsløg,44,True,stk,0.0,0.2,14.0,4.0
frisk dild,42,True,g,0.0,1.0,9.0,180.0
kakao,41,True,ml,0.0,15.0,16.0,330.0
kakao,41,True,ml,0.0,1.0,16.0,330.0
kakao,41,True,ml,0.0,5.0,16.0,330.0
bacon,39,True,g,0.0,1.0,20.0,100.0
flødeost,39,True,g,0.0,1.0,20.0,150.0
flødeost,39,True,g,0.0,15.0,20.0,150.0
hakket oksekød,39,True,g,0.0,1.0,52.0,400.0
fishsauce,39,True,ml,0.0,15.0,25.0,200.0
fishsauce,39,True,ml,0.0,5.0,25.0,200.0
fishsauce,39,True,ml,0.0,10.0,25.0,200.0
grahamsmel,38,True,g,0.0,1.0,15.0,1000.0
grahamsmel,38,True,g,0.0,10.0,15.0,1000.0
grahamsmel,38,True,g,0.0,15.0,15.0,1000.0
