ingredients,pareto,purchase_unit,spice,price,purchase_size
fuldkornshvedemel,True,g,0.0,26.0,1000.0
fuldkornshvedemel,True,g,0.0,26.0,1000.0
fuldkornshvedemel,True,g,0.0,26.0,1000.0
øko lime,True,,,,
rød peberfrugt,True,stk,0.0,20.0,3.0
champignon,True,g,0.0,18.0,200.0
persille,True,g,0.0,21.0,180.0
persille,True,g,0.0,21.0,180.0
persille,True,g,0.0,21.0,180.0
marcipan,False,g,0.0,50.0,200.0
soja,True,ml,0.0,21.0,250.0
soja,True,ml,0.0,21.0,250.0
soja,True,ml,0.0,21.0,250.0
feta,True,g,0.0,33.0,150.0
feta,True,g,0.0,33.0,150.0
soltørrede tomater i olie,True,g,0.0,40.0,120.0
soltørrede tomater i olie,True,g,0.0,40.0,120.0
cheddar ost,True,g,0.0,24.0,125.0
cheddar ost,True,g,0.0,24.0,125.0
cherrytomater,True,g,0.0,15.0,250.0
rucola,True,g,0.0,20.0,100.0
basmati ris,True,g,0.0,41.0,500.0
basmati ris,True,g,0.0,41.0,500.0
oregano,True,,1.0,,
purløg,True,g,0.0,9.0,180.0
purløg,True,g,0.0,9.0,180.0
purløg,True,g,0.0,9.0,180.0
græsk yoghurt,True,g,0.0,24.0,500.0
græsk yoghurt,True,g,0.0,24.0,500.0
græsk yoghurt,True,g,0.0,24.0,500.0
forårsløg,True,stk,0.0,14.0,4.0
forårsløg,True,stk,0.0,14.0,4.0
frisk dild,False,g,0.0,9.0,180.0
kakao,False,ml,0.0,16.0,330.0
kakao,False,ml,0.0,16.0,330.0
kakao,False,ml,0.0,16.0,330.0
bacon,True,g,0.0,20.0,100.0
flødeost,False,g,0.0,20.0,150.0
flødeost,False,g,0.0,20.0,150.0
hakket oksekød,False,g,0.0,52.0,400.0
fishsauce,True,ml,0.0,25.0,200.0
fishsauce,True,ml,0.0,25.0,200.0
fishsauce,True,ml,0.0,25.0,200.0
grahamsmel,False,g,0.0,15.0,1000.0
grahamsmel,False,g,0.0,15.0,1000.0
grahamsmel,False,g,0.0,15.0,1000.0
spidskål,True,stk,0.0,15.0,1.0
spidskål,True,stk,0.0,15.0,1.0
spinat,True,g,0.0,28.0,250.0
stængler bladselleri,True,stk,0.0,15.0,1.0
tomat,True,stk,0.0,24.0,10.0
tomat,True,stk,0.0,24.0,10.0
jordbær,False,g,0.0,50.0,400.0
jordbær,False,g,0.0,50.0,400.0
øko appelsin,False,,,,
kokosmælk,True,ml,0.0,18.0,400.0
kokosmælk,True,ml,0.0,18.0,400.0
baby spinat,True,g,0.0,20.0,100.0
æggehvide,False,g,0.0,23.0,165.0
pinjekerner,True,g,0.0,24.0,50.0
pinjekerner,True,g,0.0,24.0,50.0
laurbærblade,False,,1.0,,
glukosesirup,False,ml,0.0,18.0,400.0
glukosesirup,False,ml,0.0,18.0,400.0
glukosesirup,False,ml,0.0,18.0,400.0
glukosesirup,False,ml,0.0,18.0,400.0
muskatnød,True,,1.0,,
broccoli,True,g,0.0,16.0,400.0
cayenne peber,True,stk,1.0,0.0,1.0
cayenne peber,True,stk,1.0,0.0,1.0
stødt nellike,False,stk,1.0,0.0,1.0
stødt nellike,False,stk,1.0,0.0,1.0
frisk rosmarin,True,,,,
kyllingefilet,False,g,0.0,80.0,275.0
porre,True,stk,0.0,10.0,1.0
dåser hakkede tomater,True,,,,
kyllingebryst,False,g,0.0,80.0,250.0
valnødder,True,g,0.0,25.0,120.0
valnødder,True,g,0.0,25.0,120.0
sødmælk,True,ml,0.0,15.0,1000.0
sødmælk,True,ml,0.0,15.0,1000.0
sødmælk,True,ml,0.0,15.0,1000.0
chorizo,False,g,0.0,38.0,225.0
stængler frisk timian,True,,,,
blåbær,True,g,0.0,25.0,125.0
blåbær,True,g,0.0,25.0,125.0
blåbær,True,g,0.0,25.0,125.0
skiver brød,True,,,,
majsstivelse,True,g,0.0,35.0,250.0
majsstivelse,True,g,0.0,35.0,250.0
majsstivelse,True,g,0.0,35.0,250.0
solsikkekerner,True,g,0.0,11.0,250.0
solsikkekerner,True,g,0.0,11.0,250.0
solsikkekerner,True,g,0.0,11.0,250.0
peberkorn,True,,1.0,,
rasp,True,g,0.0,23.0,500.0
rasp,True,g,0.0,23.0,500.0
rasp,True,g,0.0,23.0,500.0
blandet salat,True,g,0.0,20.0,100.0
ark husblas,False,g,0.0,20.0,10.0
hvid chokolade,False,g,0.0,40.0,85.0
hvid chokolade,False,g,0.0,40.0,85.0
tortillas pandekager,True,stk,0.0,30.0,6.0
nudler,True,g,0.0,40.0,250.0
kikærter,True,g,0.0,15.0,400.0
kikærter,True,g,0.0,15.0,400.0
blomkål,True,stk,0.0,30.0,1.0
blomkål,True,stk,0.0,30.0,1.0
mandelmel,False,g,0.0,40.0,150.0
mandelmel,False,g,0.0,40.0,150.0
hvidvin,True,ml,0.0,75.0,750.0
hvidvin,True,ml,0.0,75.0,750.0
yoghurt naturel,False,ml,0.0,27.0,1000.0
yoghurt naturel,False,ml,0.0,27.0,1000.0
græskarkerner,True,g,0.0,22.0,250.0
græskarkerner,True,g,0.0,22.0,250.0
græskarkerner,True,g,0.0,22.0,250.0
stængler frisk rosmarin,True,,,,
rabarber,False,g,0.0,40.0,200.0
rabarber,False,g,0.0,40.0,200.0
rabarber,False,g,0.0,40.0,200.0
kapers,True,g,0.0,23.0,65.0
kapers,True,g,0.0,23.0,65.0
kapers,True,g,0.0,23.0,65.0
kapers,True,g,0.0,23.0,65.0
karry,True,,1.0,,
kokosmel,False,g,0.0,33.0,300.0
kokosmel,False,g,0.0,33.0,300.0
kokosmel,False,g,0.0,33.0,300.0
ahornsirup,True,ml,0.0,43.0,250.0
ahornsirup,True,ml,0.0,43.0,250.0
ahornsirup,True,ml,0.0,43.0,250.0
ahornsirup,True,ml,0.0,43.0,250.0
kærnemælk,False,ml,0.0,20.0,1000.0
kærnemælk,False,ml,0.0,20.0,1000.0
skiver bacon,True,,,,
hindbær,False,g,0.0,30.0,125.0
hindbær,False,g,0.0,30.0,125.0
sriracha chilisauce,True,ml,0.0,45.0,450.0
sriracha chilisauce,True,ml,0.0,45.0,450.0
sriracha chilisauce,True,ml,0.0,45.0,450.0
majs,True,g,0.0,15.0,400.0
majs,True,g,0.0,15.0,400.0
skalotteløg,True,stk,0.0,26.0,10.0
saltede peanuts,True,g,0.0,20.0,200.0
saltede peanuts,True,g,0.0,20.0,200.0
saltede peanuts,True,g,0.0,20.0,200.0
dadel,False,g,0.0,45.0,200.0
mango,True,g,0.0,15.0,250.0
stødt gurkemeje,True,,1.0,,
stødt ingefær,True,stk,1.0,0.0,1.0
stødt ingefær,True,stk,1.0,0.0,1.0
kanelstang,False,stk,1.0,0.0,1.0
pære,False,g,0.0,25.0,500.0
kakaonibs,False,stk,1.0,0.0,1.0
kakaonibs,False,stk,1.0,0.0,1.0
kakaonibs,False,stk,1.0,0.0,1.0
sennep,True,g,0.0,35.0,500.0
sennep,True,g,0.0,35.0,500.0
cm,True,,1.0,,
aubergine,True,stk,0.0,16.0,1.0
pasta,True,g,0.0,30.0,250.0
hele nelliker,False,,1.0,,
sesamolie,True,ml,0.0,85.0,500.0
sesamolie,True,ml,0.0,85.0,500.0
sesamolie,True,ml,0.0,85.0,500.0
appelsinjuice,False,ml,0.0,40.0,850.0
appelsinjuice,False,ml,0.0,40.0,850.0
appelsinjuice,False,ml,0.0,40.0,850.0
jalapenos,False,g,0.0,22.0,60.0
jalapenos,False,g,0.0,22.0,60.0
jalapenos,False,g,0.0,22.0,60.0
appelsin,False,stk,0.0,27.0,10.0
mørk rom,False,ml,0.0,200.0,750.0
mørk rom,False,ml,0.0,200.0,750.0
mørk rom,False,ml,0.0,200.0,750.0
spaghetti,True,g,0.0,30.0,500.0
koldt vand,True,,1.0,,
mælkechokolade,False,g,0.0,35.0,200.0
pillede edamamebønner,True,g,0.0,25.0,300.0
tahin,True,stk,1.0,0.0,1.0
tahin,True,stk,1.0,0.0,1.0
guldstøv,False,stk,1.0,0.0,1.0
guldstøv,False,stk,1.0,0.0,1.0
rejer,False,g,0.0,70.0,300.0
torskefilet,False,g,0.0,40.0,200.0
hørfrø,False,g,0.0,13.0,250.0
hørfrø,False,g,0.0,13.0,250.0
hørfrø,False,g,0.0,13.0,250.0
hørfrø,False,g,0.0,13.0,250.0
worcestershire sauce,False,ml,0.0,45.0,290.0
worcestershire sauce,False,ml,0.0,45.0,290.0
kogende vand,True,,1.0,,
fritureolie,False,,,,
rødvin,False,ml,0.0,75.0,750.0
rødvin,False,ml,0.0,75.0,750.0
stjerneanis,False,stk,1.0,0.0,1.0
stjerneanis,False,stk,1.0,0.0,1.0
stjerneanis,False,stk,1.0,0.0,1.0
rødbede,True,g,0.0,15.0,1000.0
rødbede,True,g,0.0,15.0,1000.0
rosmarin,True,stk,1.0,0.0,1.0
rosmarin,True,stk,1.0,0.0,1.0
rosmarin,True,stk,1.0,0.0,1.0
rosmarin,True,stk,1.0,0.0,1.0
rosmarin,True,stk,1.0,0.0,1.0
grønkål,False,g,0.0,20.0,300.0
skiver rugbrød,True,,,,
rålakridspulver,False,,1.0,,
babykartofler,True,g,0.0,25.0,1000.0
babykartofler,True,g,0.0,25.0,1000.0
safran,True,stk,1.0,0.0,1.0
safran,True,stk,1.0,0.0,1.0
grønne asparges,True,g,0.0,35.0,250.0
burgerboller,True,stk,0.0,40.0,6.0
rugmel,False,,,,
ketchup,True,g,0.0,46.0,580.0
ketchup,True,g,0.0,46.0,580.0
ketchup,True,g,0.0,46.0,580.0
ketchup,True,g,0.0,46.0,580.0
chili,False,stk,0.0,5.0,1.0
chili,False,stk,0.0,5.0,1.0
chili,False,stk,0.0,5.0,1.0
chili,False,stk,0.0,5.0,1.0
stenbiderrogn,False,,,,
cashewnødder,True,g,0.0,21.0,100.0
hokkaido græskar,True,stk,0.0,25.0,1.0
hokkaido græskar,True,stk,0.0,25.0,1.0
allehånde,False,,1.0,,
/,False,,1.0,,
vaniljeis,False,ml,0.0,60.0,750.0
vaniljeis,False,ml,0.0,60.0,750.0
pistaciekerner,False,,,,
håndfulde frisk mynte,False,,,,
parmaskinke,False,,,,
gin,False,ml,0.0,200.0,750.0
gin,False,ml,0.0,200.0,750.0
peanutbutter,True,g,0.0,40.0,350.0
peanutbutter,True,g,0.0,40.0,350.0
peanutbutter,True,g,0.0,40.0,350.0
peanutbutter,True,g,0.0,40.0,350.0
pesto,True,g,1.0,23.0,150.0
